City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,kaeo,-35.1,173.7833,20.58,85,90,6.49,NZ,1674696439
420,tarko-sale,64.9225,77.785,-12.98,95,98,5.71,RU,1674696440
421,ahipara,-35.1667,173.1667,22.24,72,93,6.81,NZ,1674696441
422,ust-tsilma,65.441,52.1498,0.74,98,100,4.41,RU,1674696442
423,nantucket,41.2835,-70.0995,6.06,88,100,9.77,US,1674696443
424,harper,4.375,-7.7169,25.91,86,100,2.51,LR,1674696444
425,angoche,-16.2325,39.9086,24.27,93,100,6.67,MZ,1674696444
426,sao joao da barra,-21.6403,-41.0511,23.07,90,99,3.87,BR,1674696445
427,cape coast,5.1053,-1.2466,26.49,89,0,4.18,GH,1674696446
428,qarqin,37.4185,66.0436,-1.87,74,6,0.23,AF,1674696446
429,emerald,-23.5333,148.1667,30.19,51,51,5.07,AU,1674696447
430,uusikaupunki,60.8004,21.4084,1.8,99,99,3.37,FI,1674696448
431,lazaro cardenas,17.9583,-102.2,23.95,71,0,2.66,MX,1674696166
432,catamarca,-28.4696,-65.7852,25.04,84,21,3.43,AR,1674696452
433,mufulira,-12.5498,28.2407,15.11,97,100,1.73,ZM,1674696453
434,tala,30.6803,30.9429,9.4,90,0,2.12,EG,1674696453
435,wau,7.7029,27.9953,25.51,30,100,2.72,SS,1674696454
436,la grande,45.3246,-118.0877,4.48,78,39,0.7,US,1674696433
437,francistown,-21.17,27.5079,20.69,60,100,7.8,BW,1674696454
438,kyren,51.6828,102.1408,-23.05,80,3,1.02,RU,1674696455
439,troitsk,54.0979,61.5773,-17.81,95,5,2.24,RU,1674696455
440,asyut,27.181,31.1837,12.1,58,0,2.36,EG,1674696455
441,baiyin,36.5583,104.2081,-10.16,45,99,3.36,CN,1674696456
442,valparaiso,-33.0393,-71.6273,16.8,67,0,3.6,CL,1674696456
443,pundaguitan,6.3711,126.1689,26.43,80,100,5.36,PH,1674696456
444,lavrentiya,65.5833,-171.0,-24.33,89,100,4.84,RU,1674696457
445,thunder bay,48.4001,-89.3168,-11.01,72,100,4.63,CA,1674696412
446,walvis bay,-22.9575,14.5053,15.61,83,11,3.31,NA,1674696457
447,goma,-1.6792,29.2228,15.5,82,90,1.77,CD,1674696457
448,medak,18.0333,78.2667,16.26,76,8,2.93,IN,1674696458
449,batemans bay,-35.7167,150.1833,24.5,44,6,5.45,AU,1674696458
450,taupo,-38.6833,176.0833,21.19,45,100,0.26,NZ,1674696458
451,biak,-0.9131,122.8766,27.62,68,100,0.53,ID,1674696459
452,zhangjiakou,40.81,114.8794,-13.81,61,13,3.82,CN,1674696459
453,shingu,33.7333,135.9833,5.08,42,1,2.1,JP,1674696459
454,alakurtti,66.9672,30.3491,-8.27,89,22,3.56,RU,1674696460
455,flin flon,54.7682,-101.865,-21.64,100,56,1.67,CA,1674696460
